archivo,autor,sitio,url_original
alojamientos/casa-colonial-palermo/05.jpg,Amar Preciado,Pexels,https://www.pexels.com/photo/old-historic-building-yard-on-sunset-13756223/
alojamientos/refugio-nieve-grande/01.jpg,Zak Mogel,Pexels,https://www.pexels.com/photo/ski-lodge-in-snowy-mountain-landscape-36325823/
alojamientos/refugio-nieve-grande/02.jpg,Chris F,Pexels,https://www.pexels.com/photo/snowy-mountain-resort-under-starry-night-sky-36938623/
alojamientos/refugio-nieve-grande/03.jpg,Max Vakhtbovych,Pexels,https://www.pexels.com/photo/tv-room-in-chalet-7746470/
alojamientos/refugio-nieve-grande/04.jpg,Lina Kivaka,Pexels,https://www.pexels.com/photo/photograph-of-wooden-skis-5732007/
alojamientos/refugio-nieve-grande/05.jpg,Sami Abdullah,Pexels,https://www.pexels.com/photo/cozy-fireplace-living-room-with-tablet-31854904/
alojamientos/villa-olivos-del-sur/01.jpg,Toni Seyfert,Pexels,https://www.pexels.com/photo/charming-tuscan-villa-in-olive-grove-36713228/
alojamientos/villa-olivos-del-sur/02.jpg,Emın Alper,Pexels,https://www.pexels.com/photo/luxury-villa-with-pool-in-kayakoy-turkiye-29693423/
alojamientos/villa-olivos-del-sur/03.jpg,Nikolaos D. Nomikos,Pexels,https://www.pexels.com/photo/serene-olive-grove-with-cypress-trees-33129224/
alojamientos/villa-olivos-del-sur/04.jpg,Amine Kübranur Çakıroğlu,Pexels,https://www.pexels.com/photo/aerial-view-of-tuscan-villa-and-olive-groves-38120266/
alojamientos/villa-olivos-del-sur/05.jpg,Burak Evlivan,Pexels,https://www.pexels.com/photo/a-swimming-pool-surrounded-with-a-wooden-deck-and-trees-19135424/
